,id,question,code_concise,code_verbose,answer,predict
116,117,List shipments in January with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0     1  Route C       WH2           4.88             51     Customs Delay   
1     2  Route A       WH4           4.77             45       Driver Rest   
2     3  Route C       WH4           5.31            113           Traffic   
3     4  Route B       WH4           5.83             32   Minor Breakdown   
4     5  Route C       WH4           6.13            120           Traffic   
5     6  Route E       WH2           5.51            112     Customs Delay   
6     9  Route E       WH2           4.73             49   Minor Breakdown   
7    10  Route E       WH4           5.60             58     Customs Delay   
8    11  Route A       WH2           4.75             93           Weather   
9    13  Route A       WH4           4.63             77   Minor Breakdown   
10   14  Route A       WH4           6.44            119   Minor Breakdown   
11   15  Route A       WH4           5.58            104           Weather   
12   16  Route A       WH3           4.90            119     Customs Delay   
13   17  Route C       WH4           4.25             38   Minor Breakdown   
14   18  Route E       WH3           6.53             87   Minor Breakdown   
15   20  Route B       WH2           5.64            109       Driver Rest   
16   21  Route A       WH2           5.25             68  Mechanical Issue   
17   23  Route E       WH2           6.37             45   Minor Breakdown   
18   24  Route D       WH1           4.53            114       Driver Rest   
19   25  Route A       WH3           6.95             88  Mechanical Issue   
20   26  Route C       WH3           6.11             86       Driver Rest   
21   27  Route C       WH3           6.40             60           Traffic   
22   29  Route A       WH2           4.70             88       Driver Rest   
23  365  Route E       WH4           5.48             56   Minor Breakdown   
24  367  Route D       WH1           4.08            116           Weather   
25  368  Route C       WH2           4.20             43     Customs Delay   
26  370  Route E       WH1           4.56             72           Weather   
27  371  Route B       WH1           4.32             94  Mechanical Issue   
28  374  Route C       WH2           6.03             39   Minor Breakdown   
29  376  Route A       WH3           5.62             67           Traffic   
30  377  Route E       WH4           6.21             41           Traffic   
31  379  Route A       WH3           4.96             75           Weather   
32  381  Route A       WH2           5.51             83     Customs Delay   
33  384  Route E       WH1           4.28             32       Driver Rest   
34  385  Route C       WH1           4.39            120           Traffic   
35  388  Route B       WH3           5.06             60     Customs Delay   
36  389  Route B       WH2           5.78             76   Minor Breakdown   
37  390  Route C       WH3           6.29             90       Driver Rest   
38  391  Route C       WH4           4.08             80           Traffic   
39  395  Route B       WH1           6.39             68       Driver Rest   
40  730  Route B       WH2           4.19             31       Driver Rest   
41  731  Route E       WH3           6.62             87  Mechanical Issue   
42  734  Route B       WH3           6.46             88   Minor Breakdown   
43  735  Route B       WH2           6.65             71           Weather   
44  736  Route A       WH4           5.41            107           Traffic   
45  739  Route D       WH1           6.91            117           Weather   
46  740  Route D       WH2           5.47            110     Customs Delay   
47  741  Route A       WH4           4.11            107           Traffic   
48  742  Route D       WH3           4.24             48       Driver Rest   
49  743  Route C       WH1           6.10             95   Minor Breakdown   
50  744  Route E       WH2           6.84             75           Weather   
51  747  Route C       WH4           4.57            106           Weather   
52  748  Route A       WH2           6.35             57           Traffic   
53  749  Route A       WH2           4.61             72   Minor Breakdown   
54  750  Route C       WH3           6.87             72   Minor Breakdown   
55  753  Route A       WH1           6.10             63           Weather   
56  754  Route C       WH1           4.68             46           Traffic   
57  755  Route B       WH1           4.24             76       Driver Rest   
58  757  Route E       WH1           4.40             67  Mechanical Issue   

         date  
0  2024-01-02  
1  2024-01-03  
2  2024-01-04  
3  2024-01-05  
4  2024-01-06  
5  2024-01-07  
6  2024-01-10  
7  2024-01-11  
8  2024-01-12  
9  2024-01-14  
10 2024-01-15  
11 2024-01-16  
12 2024-01-17  
13 2024-01-18  
14 2024-01-19  
15 2024-01-21  
16 2024-01-22  
17 2024-01-24  
18 2024-01-25  
19 2024-01-26  
20 2024-01-27  
21 2024-01-28  
22 2024-01-30  
23 2024-01-01  
24 2024-01-03  
25 2024-01-04  
26 2024-01-06  
27 2024-01-07  
28 2024-01-10  
29 2024-01-12  
30 2024-01-13  
31 2024-01-15  
32 2024-01-17  
33 2024-01-20  
34 2024-01-21  
35 2024-01-24  
36 2024-01-25  
37 2024-01-26  
38 2024-01-27  
39 2024-01-31  
40 2024-01-01  
41 2024-01-02  
42 2024-01-05  
43 2024-01-06  
44 2024-01-07  
45 2024-01-10  
46 2024-01-11  
47 2024-01-12  
48 2024-01-13  
49 2024-01-14  
50 2024-01-15  
51 2024-01-18  
52 2024-01-19  
53 2024-01-20  
54 2024-01-21  
55 2024-01-24  
56 2024-01-25  
57 2024-01-26  
58 2024-01-28  "
117,118,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
118,119,What is the rolling 7-day average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","         date  rolling_7_day_avg
0  2024-01-01          56.000000
1  2024-01-01          43.500000
2  2024-01-02          46.000000
3  2024-01-02          34.500000
4  2024-01-02          45.000000
5  2024-01-03          45.000000
6  2024-01-03          55.142857
7  2024-01-03          50.428571
8  2024-01-04          62.142857
9  2024-01-04          61.000000
10 2024-01-04          62.428571
11 2024-01-05          54.571429
12 2024-01-05          48.142857
13 2024-01-05          44.142857
14 2024-01-06          58.000000
15 2024-01-06          52.142857
16 2024-01-06          56.142857"
119,120,Which route had the longest average delay in February?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the longest average delay in February is 'Route E' with an average delay of 66.73913043478261 minutes.
120,121,Show correlation between delivery_time and delay_minutes for Route E.,result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,0.00567882444538465
121,122,Which route had the longest average delay in January?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the longest average delay in January is Route D.
122,123,What was the average delay in November?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",51.03333333333333
123,124,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
124,125,How many shipments occurred on Sundays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",142
125,126,What is the rolling 7-day average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","         date  rolling_7_day_avg_delay
0  2024-01-01                56.000000
1  2024-01-01                43.500000
2  2024-01-02                46.000000
3  2024-01-02                34.500000
4  2024-01-02                45.000000
..        ...                      ...
87 2024-01-30                27.857143
88 2024-01-30                32.142857
89 2024-01-31                22.571429
90 2024-01-31                32.285714
91 2024-01-31                29.428571

[92 rows x 2 columns]"
126,127,Show correlation between delivery_time and delay_minutes for Route D.,result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,-0.04930486211843905
127,128,What is the daily delay rate for the last 14 days?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","         date  total_delay_minutes  total_shipments  daily_delay_rate
0  2024-12-16                 60.0                2              30.0
1  2024-12-17                181.0                2              90.5
2  2024-12-18                105.0                2              52.5
3  2024-12-19                127.0                2              63.5
4  2024-12-20                142.0                2              71.0
5  2024-12-21                134.0                2              67.0
6  2024-12-22                 88.0                2              44.0
7  2024-12-23                 20.0                2              10.0
8  2024-12-24                 90.0                2              45.0
9  2024-12-25                122.0                2              61.0
10 2024-12-26                 27.0                2              13.5
11 2024-12-27                 68.0                2              34.0
12 2024-12-28                143.0                2              71.5
13 2024-12-29                 84.0                2              42.0
14 2024-12-30                215.0                2             107.5"
128,129,How many shipments occurred on Sundays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",142
129,130,Show correlation between delivery_time and delay_minutes for Route C.,result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,0.006022704518866803
130,131,How many shipments from WH2 had delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",193
131,132,What is the average delivery_time for Route C?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",5.573715846994536
132,133,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
133,134,Show the top 3 routes by total delay_minutes.,result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(3),"result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(5).reset_index(name='total_delay')
","route
Route E    11580
Route A    10776
Route B    10569
Name: delay_minutes, dtype: int64","     route  total_delay_minutes
0  Route E              11580.0
1  Route A              10776.0
2  Route B              10569.0"
134,135,What was the average delay in September?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",56.0919540229885
135,136,How many shipments occurred on Thursdays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",143
136,137,How many shipments from WH2 had delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",193
137,138,Show correlation between delivery_time and delay_minutes for Route E.,result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,0.00567882444538465
138,139,What is the average delivery_time for Route E?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",5.45333333333333
139,140,What was the average delay in March?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",46.623655913978496
140,141,How many shipments occurred on Wednesdays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",12
141,142,How many shipments occurred on Thursdays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",143
142,143,What is the rolling 7-day average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","          date  rolling_7_day_avg_delay
0   2024-01-01                56.000000
1   2024-01-01                43.500000
2   2024-01-02                46.000000
3   2024-01-02                34.500000
4   2024-01-02                45.000000
..         ...                      ...
995 2024-12-28                44.142857
996 2024-12-29                40.571429
997 2024-12-29                42.142857
998 2024-12-30                59.000000
999 2024-12-30                64.000000

[1000 rows x 2 columns]"
143,144,Which route had the most Driver Rest delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the most 'Driver Rest' delays is: Route B.
144,145,Which route had the longest average delay in April?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the longest average delay in April is 'Route D' with an average delay of 65.55555555555556 minutes.
145,146,List shipments in January with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0     1  Route C       WH2           4.88             51     Customs Delay   
1     2  Route A       WH4           4.77             45       Driver Rest   
2     3  Route C       WH4           5.31            113           Traffic   
3     4  Route B       WH4           5.83             32   Minor Breakdown   
4     5  Route C       WH4           6.13            120           Traffic   
5     6  Route E       WH2           5.51            112     Customs Delay   
6     9  Route E       WH2           4.73             49   Minor Breakdown   
7    10  Route E       WH4           5.60             58     Customs Delay   
8    11  Route A       WH2           4.75             93           Weather   
9    13  Route A       WH4           4.63             77   Minor Breakdown   
10   14  Route A       WH4           6.44            119   Minor Breakdown   
11   15  Route A       WH4           5.58            104           Weather   
12   16  Route A       WH3           4.90            119     Customs Delay   
13   17  Route C       WH4           4.25             38   Minor Breakdown   
14   18  Route E       WH3           6.53             87   Minor Breakdown   
15   20  Route B       WH2           5.64            109       Driver Rest   
16   21  Route A       WH2           5.25             68  Mechanical Issue   
17   23  Route E       WH2           6.37             45   Minor Breakdown   
18   24  Route D       WH1           4.53            114       Driver Rest   
19   25  Route A       WH3           6.95             88  Mechanical Issue   
20   26  Route C       WH3           6.11             86       Driver Rest   
21   27  Route C       WH3           6.40             60           Traffic   
22   29  Route A       WH2           4.70             88       Driver Rest   
23  365  Route E       WH4           5.48             56   Minor Breakdown   
24  367  Route D       WH1           4.08            116           Weather   
25  368  Route C       WH2           4.20             43     Customs Delay   
26  370  Route E       WH1           4.56             72           Weather   
27  371  Route B       WH1           4.32             94  Mechanical Issue   
28  374  Route C       WH2           6.03             39   Minor Breakdown   
29  376  Route A       WH3           5.62             67           Traffic   
30  377  Route E       WH4           6.21             41           Traffic   
31  379  Route A       WH3           4.96             75           Weather   
32  381  Route A       WH2           5.51             83     Customs Delay   
33  384  Route E       WH1           4.28             32       Driver Rest   
34  385  Route C       WH1           4.39            120           Traffic   
35  388  Route B       WH3           5.06             60     Customs Delay   
36  389  Route B       WH2           5.78             76   Minor Breakdown   
37  390  Route C       WH3           6.29             90       Driver Rest   
38  391  Route C       WH4           4.08             80           Traffic   
39  395  Route B       WH1           6.39             68       Driver Rest   
40  730  Route B       WH2           4.19             31       Driver Rest   
41  731  Route E       WH3           6.62             87  Mechanical Issue   
42  734  Route B       WH3           6.46             88   Minor Breakdown   
43  735  Route B       WH2           6.65             71           Weather   
44  736  Route A       WH4           5.41            107           Traffic   
45  739  Route D       WH1           6.91            117           Weather   
46  740  Route D       WH2           5.47            110     Customs Delay   
47  741  Route A       WH4           4.11            107           Traffic   
48  742  Route D       WH3           4.24             48       Driver Rest   
49  743  Route C       WH1           6.10             95   Minor Breakdown   
50  744  Route E       WH2           6.84             75           Weather   
51  747  Route C       WH4           4.57            106           Weather   
52  748  Route A       WH2           6.35             57           Traffic   
53  749  Route A       WH2           4.61             72   Minor Breakdown   
54  750  Route C       WH3           6.87             72   Minor Breakdown   
55  753  Route A       WH1           6.10             63           Weather   
56  754  Route C       WH1           4.68             46           Traffic   
57  755  Route B       WH1           4.24             76       Driver Rest   
58  757  Route E       WH1           4.40             67  Mechanical Issue   

         date  
0  2024-01-02  
1  2024-01-03  
2  2024-01-04  
3  2024-01-05  
4  2024-01-06  
5  2024-01-07  
6  2024-01-10  
7  2024-01-11  
8  2024-01-12  
9  2024-01-14  
10 2024-01-15  
11 2024-01-16  
12 2024-01-17  
13 2024-01-18  
14 2024-01-19  
15 2024-01-21  
16 2024-01-22  
17 2024-01-24  
18 2024-01-25  
19 2024-01-26  
20 2024-01-27  
21 2024-01-28  
22 2024-01-30  
23 2024-01-01  
24 2024-01-03  
25 2024-01-04  
26 2024-01-06  
27 2024-01-07  
28 2024-01-10  
29 2024-01-12  
30 2024-01-13  
31 2024-01-15  
32 2024-01-17  
33 2024-01-20  
34 2024-01-21  
35 2024-01-24  
36 2024-01-25  
37 2024-01-26  
38 2024-01-27  
39 2024-01-31  
40 2024-01-01  
41 2024-01-02  
42 2024-01-05  
43 2024-01-06  
44 2024-01-07  
45 2024-01-10  
46 2024-01-11  
47 2024-01-12  
48 2024-01-13  
49 2024-01-14  
50 2024-01-15  
51 2024-01-18  
52 2024-01-19  
53 2024-01-20  
54 2024-01-21  
55 2024-01-24  
56 2024-01-25  
57 2024-01-26  
58 2024-01-28  "
146,147,Which route had the most Minor Breakdown delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the most Minor Breakdown delays is Route E.
147,148,How many shipments occurred on Tuesdays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",143
148,149,Show delay reason counts for WH1.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","       delay_reason  count
0           Traffic     45
1              None     45
2  Mechanical Issue     41
3       Driver Rest     39
4   Minor Breakdown     37
5           Weather     34
6     Customs Delay     31"
149,150,Show delay reason counts for WH4.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","       delay_reason  count
0           Traffic     52
1              None     43
2   Minor Breakdown     38
3  Mechanical Issue     35
4       Driver Rest     32
5           Weather     28
6     Customs Delay     22"
150,151,What is the average delivery_time for Route B?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",5.438375634517766
151,152,Which route had the longest average delay in December?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the longest average delay in December is 'Route D' with an average delay of 57.875 minutes.
152,153,How many shipments occurred on Thursdays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",143
153,154,List shipments in September with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","      id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0    245  Route C       WH4           4.35             80     Customs Delay   
1    248  Route B       WH2           6.33             50   Minor Breakdown   
2    249  Route A       WH3           5.46             90           Weather   
3    250  Route E       WH1           6.64             80           Weather   
4    251  Route C       WH2           4.47            107           Traffic   
5    252  Route A       WH4           6.26             72           Traffic   
6    253  Route D       WH3           6.22             60           Traffic   
7    254  Route C       WH1           4.35            104       Driver Rest   
8    258  Route E       WH4           6.34             95           Traffic   
9    259  Route B       WH3           5.89             34     Customs Delay   
10   262  Route B       WH2           6.87            112       Driver Rest   
11   263  Route B       WH4           4.31             69       Driver Rest   
12   265  Route A       WH3           6.94             63     Customs Delay   
13   269  Route B       WH1           6.35             63   Minor Breakdown   
14   270  Route D       WH2           6.61             92     Customs Delay   
15   271  Route D       WH3           4.98             75  Mechanical Issue   
16   273  Route D       WH3           6.10             60           Weather   
17   610  Route D       WH3           4.07             97     Customs Delay   
18   611  Route A       WH4           4.95             92           Weather   
19   612  Route A       WH1           4.27             70     Customs Delay   
20   614  Route B       WH1           5.47             84     Customs Delay   
21   615  Route A       WH1           4.72             94  Mechanical Issue   
22   616  Route B       WH2           6.46            109           Weather   
23   617  Route E       WH1           6.66            107   Minor Breakdown   
24   620  Route D       WH2           6.78            112           Weather   
25   621  Route C       WH3           4.48            112   Minor Breakdown   
26   622  Route D       WH1           6.51             98           Traffic   
27   624  Route C       WH3           5.65             54  Mechanical Issue   
28   626  Route B       WH2           5.98             76  Mechanical Issue   
29   628  Route D       WH4           5.21            107   Minor Breakdown   
30   630  Route E       WH4           6.94             79       Driver Rest   
31   632  Route D       WH1           6.58             88  Mechanical Issue   
32   634  Route C       WH1           5.34             52     Customs Delay   
33   635  Route A       WH4           5.31             33           Traffic   
34   637  Route D       WH4           5.24            111       Driver Rest   
35   638  Route A       WH3           6.59             33  Mechanical Issue   
36   976  Route D       WH4           5.29             54           Weather   
37   979  Route E       WH4           5.63            120           Traffic   
38   980  Route A       WH3           4.73            112       Driver Rest   
39   981  Route A       WH4           6.53             90  Mechanical Issue   
40   982  Route B       WH3           6.42             65       Driver Rest   
41   983  Route C       WH1           5.83             71   Minor Breakdown   
42   984  Route B       WH4           5.03             74   Minor Breakdown   
43   986  Route D       WH3           6.06             69  Mechanical Issue   
44   987  Route D       WH1           4.83             46           Weather   
45   989  Route B       WH4           4.33            100  Mechanical Issue   
46   991  Route A       WH2           6.02             80  Mechanical Issue   
47   992  Route D       WH3           4.02             37     Customs Delay   
48   993  Route D       WH1           6.03             65           Traffic   
49   994  Route D       WH1           5.00             80  Mechanical Issue   
50   995  Route A       WH4           6.35             57           Traffic   
51   996  Route B       WH2           5.60            118           Weather   
52   997  Route E       WH4           5.00             83       Driver Rest   
53   998  Route B       WH4           5.45             52       Driver Rest   
54   999  Route E       WH4           5.61            117           Traffic   
55  1000  Route B       WH3           5.52            105  Mechanical Issue   

         date  
0  2024-09-02  
1  2024-09-05  
2  2024-09-06  
3  2024-09-07  
4  2024-09-08  
5  2024-09-09  
6  2024-09-10  
7  2024-09-11  
8  2024-09-15  
9  2024-09-16  
10 2024-09-19  
11 2024-09-20  
12 2024-09-22  
13 2024-09-26  
14 2024-09-27  
15 2024-09-28  
16 2024-09-30  
17 2024-09-02  
18 2024-09-03  
19 2024-09-04  
20 2024-09-06  
21 2024-09-07  
22 2024-09-08  
23 2024-09-09  
24 2024-09-12  
25 2024-09-13  
26 2024-09-14  
27 2024-09-16  
28 2024-09-18  
29 2024-09-20  
30 2024-09-22  
31 2024-09-24  
32 2024-09-26  
33 2024-09-27  
34 2024-09-29  
35 2024-09-30  
36 2024-09-03  
37 2024-09-06  
38 2024-09-07  
39 2024-09-08  
40 2024-09-09  
41 2024-09-10  
42 2024-09-11  
43 2024-09-13  
44 2024-09-14  
45 2024-09-16  
46 2024-09-18  
47 2024-09-19  
48 2024-09-20  
49 2024-09-21  
50 2024-09-22  
51 2024-09-23  
52 2024-09-24  
53 2024-09-25  
54 2024-09-26  
55 2024-09-27  "
154,155,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
